4.194791666666659324e+01,4.043749999999998579e+01,3.596875000000001421e+01,3.793750000000006395e+01
3.796874999999992184e+01,3.671009555137845837e+01,2.398958333333338544e+01,2.849287280701757652e+01
2.257291666666663232e+01,2.093749999999998934e+01,1.928125000000002842e+01,1.603125000000003908e+01
4.686458333333333570e+01,4.300000000000000000e+01,4.406250000000000000e+01,3.995833333333332860e+01
5.540625000000000711e+01,4.579166666666667140e+01,4.475000000000000000e+01,3.882291666666666430e+01
4.355208333333332860e+01,4.395833333333333570e+01,4.305208333333332860e+01,3.886458333333332860e+01
5.571875000000000000e+01,5.618750000000000000e+01,5.228124999999999289e+01,4.773958333333333570e+01
6.205208333333332860e+01,6.335416666666667140e+01,5.838541666666665719e+01,5.390625000000000711e+01
5.653125000000000000e+01,5.813541666666666430e+01,5.352083333333332149e+01,5.111458333333334281e+01
5.367708333333333570e+01,5.145833333333333570e+01,4.652083333333332149e+01,4.577083333333334281e+01
4.670833333333332860e+01,4.063541666666667140e+01,3.389583333333332149e+01,3.219791666666667140e+01
3.319791666666665719e+01,2.412500000000000355e+01,1.814583333333331794e+01,1.738541666666667496e+01
2.887454710144926651e+01,2.375000000000000000e+01,1.846874999999998579e+01,1.817708333333334281e+01
2.827038043478259866e+01,2.867708333333333215e+01,2.415624999999998224e+01,2.245833333333334281e+01
3.250996376811593080e+01,3.618749999999999289e+01,3.463541666666665009e+01,3.394791666666667851e+01
5.019746376811593080e+01,5.335416666666665719e+01,5.194791666666665009e+01,4.979166666666667851e+01
6.869791666666665719e+01,6.981250000000000000e+01,7.026041666666664298e+01,6.817708333333334281e+01
8.454166666666665719e+01,8.605208333333332860e+01,8.810416666666664298e+01,8.778219696969698305e+01
8.738541666666665719e+01,9.221875000000000000e+01,9.662499999999997158e+01,9.142803030303032585e+01
8.276041666666665719e+01,9.108333333333332860e+01,9.739583333333330017e+01,9.338636363636366866e+01
8.128472222222221433e+01,8.630208333333332860e+01,8.909374999999995737e+01,7.793844696969699726e+01
6.528472222222221433e+01,6.753125000000000000e+01,6.969791666666661456e+01,5.747916666666668561e+01
6.428472222222221433e+01,6.240625000000000000e+01,6.103124999999994316e+01,5.114583333333334281e+01
